City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
hobart,90,AU,1570299010,62,-42.88,147.33,285.15,3.1
severo-kurilsk,100,RU,1570299011,95,50.68,156.12,280.5,18.34
vardo,75,US,1570299011,51,39.62,-77.74,291.15,5.1
ledyard,0,US,1570299011,38,41.44,-72.02,288.71,2.1
berlevag,100,NO,1570299011,73,70.86,29.09,278.6,4.9
ilulissat,75,GL,1570299012,75,69.22,-51.1,278.15,4.1
kaitangata,52,NZ,1570299012,76,-46.28,169.85,277.04,1.79
jamestown,0,AU,1570298836,71,-33.21,138.6,285.7,2.62
sitka,27,US,1570299013,37,37.17,-99.65,293.71,8.49
alofi,59,NU,1570299013,73,-19.06,-169.92,294.15,4.6
hilo,1,US,1570299013,60,19.71,-155.08,297.04,3.6
touros,75,BR,1570299013,58,-5.2,-35.46,302.15,8.7
saint george,20,GR,1570299014,52,39.45,22.34,294.15,2.6
albany,20,US,1570299014,47,42.65,-73.75,287.59,2.6
beringovskiy,0,RU,1570299014,58,63.05,179.32,272.0,11.044
bud,0,NO,1570299014,54,62.91,6.91,276.48,5.1
rikitea,100,PF,1570299015,80,-23.12,-134.97,294.1,10.71
hofn,100,IS,1570299015,99,64.25,-15.21,276.2,7.84
rabo de peixe,40,PT,1570299015,88,37.8,-25.58,296.15,3.1
chernihiv,100,UA,1570299015,74,51.49,31.29,281.3,2.98
samusu,100,UA,1570299015,74,51.49,31.29,281.3,2.98
thompson,90,CA,1570299016,87,55.74,-97.86,280.15,1.0
porto novo,0,BR,1570299016,27,-23.68,-45.44,305.15,3.1
tiverton,75,GB,1570299016,93,50.9,-3.49,288.71,3.1
lovec,75,GB,1570299016,93,50.9,-3.49,288.71,3.1
saskylakh,0,RU,1570299017,93,71.97,114.09,262.3,1.31
vaini,100,IN,1570299017,93,15.34,74.49,297.0,0.96
clyde river,20,CA,1570299017,79,70.47,-68.59,271.15,4.1
riyadh,20,SA,1570298826,22,24.63,46.72,306.15,2.6
syamzha,67,RU,1570299018,90,60.02,41.06,273.2,3.64
port alfred,0,ZA,1570299018,92,-33.59,26.89,291.48,0.89
itaituba,40,BR,1570299018,55,-4.26,-55.99,304.15,2.6
ipswich,40,AU,1570299019,77,-27.62,152.76,291.15,1.0
mataura,76,NZ,1570299019,84,-46.19,168.86,278.71,1.79
busselton,66,AU,1570299019,68,-33.64,115.35,282.59,4.92
urucara,87,BR,1570299019,43,-2.54,-57.76,307.4,1.62
avarua,100,CK,1570299020,52,-21.21,-159.78,294.15,2.6
saint-philippe,1,CA,1570299020,47,45.36,-73.48,286.15,2.6
usinsk,100,RU,1570299020,99,66.0,57.56,275.2,3.765
lagoa,0,PT,1570299020,77,37.14,-8.45,297.04,2.6
lebu,99,ET,1570299021,88,8.96,38.73,285.8,1.69
kodiak,90,US,1570299021,93,39.95,-94.76,293.71,5.1
longyearbyen,75,NO,1570299022,95,78.22,15.63,276.15,6.2
egvekinot,100,RU,1570299022,81,66.32,-179.17,266.9,5.39
ushuaia,40,AR,1570299022,60,-54.81,-68.31,281.15,10.8
yellowknife,90,CA,1570298906,86,62.45,-114.38,277.15,2.1
nova ushytsya,87,UA,1570299023,72,48.84,27.27,279.9,1.8
ancud,75,CL,1570299023,62,-41.87,-73.83,284.15,5.1
carnarvon,0,ZA,1570299024,7,-30.97,22.13,294.2,3.45
pangnirtung,5,CA,1570299024,40,66.15,-65.72,274.15,5.7
panguna,48,PG,1570299024,77,-6.32,155.48,300.4,3.01
marienburg,14,DE,1570299024,81,52.12,9.98,282.59,1.5
high rock,75,BS,1570299025,88,26.63,-78.28,299.15,4.1
roma,20,IT,1570298926,77,41.89,12.48,294.15,1.5
hasaki,75,JP,1570299025,83,35.73,140.83,295.37,4.1
malpura,2,IN,1570299025,52,26.29,75.37,299.8,2.75
lensk,100,RU,1570299026,98,60.71,114.91,275.9,2.69
nanortalik,98,GL,1570299026,75,60.14,-45.24,279.2,3.41
ternate,40,PH,1570299026,83,14.29,120.72,300.15,1.0
bairiki,40,PH,1570299026,83,14.29,120.72,300.15,1.0
bonoua,40,CI,1570299027,88,5.27,-3.6,299.15,3.6
prince rupert,75,CA,1570299027,87,54.32,-130.32,284.15,3.1
richards bay,17,ZA,1570299027,91,-28.77,32.06,294.5,7.09
waipawa,86,NZ,1570299027,94,-39.94,176.59,277.04,1.317
cidreira,100,BR,1570299028,87,-30.17,-50.22,291.0,4.84
castro,75,CL,1570299028,62,-42.48,-73.76,284.15,5.1
airai,9,TL,1570299028,77,-8.93,125.41,293.4,1.72
nikolskoye,20,RU,1570299028,92,59.7,30.79,275.37,1.0
chokurdakh,100,RU,1570299029,92,70.62,147.9,267.6,6.77
constitucion,20,MX,1570299029,42,23.99,-104.67,296.48,3.1
broome,20,GB,1570299029,81,52.47,1.45,286.48,3.6
taolanaro,20,GB,1570299029,81,52.47,1.45,286.48,3.6
zemaiciu naumiestis,89,LT,1570299030,82,55.36,21.7,276.9,3.05
beverley,24,AU,1570299030,92,-32.11,116.93,280.7,2.102
manta,100,RO,1570299030,58,45.1,24.1,285.0,0.43
nouadhibou,0,MR,1570299030,69,20.93,-17.03,296.15,9.3
dolores hidalgo,40,MX,1570299031,50,21.16,-100.93,297.15,3.1
puerto ayora,20,EC,1570299031,64,-0.74,-90.35,297.15,9.3
sikandra rao,0,IN,1570299031,54,27.69,78.38,298.7,1.82
kapaa,20,US,1570299031,88,22.08,-159.32,297.59,2.1
manakara,0,MG,1570299032,91,-22.14,48.01,294.1,1.746
ijaki,0,MG,1570299032,91,-22.14,48.01,294.1,1.746
hermanus,0,ZA,1570299032,87,-34.42,19.24,289.26,4.534
constantine,0,DZ,1570299032,46,36.36,6.61,294.15,2.6
tyazhinskiy,99,RU,1570299032,99,56.11,88.52,281.4,1.53
ponta delgada,40,PT,1570299033,88,37.73,-25.67,296.15,3.1
bikaner,0,IN,1570299033,27,28.02,73.32,304.7,2.51
barra do garcas,75,BR,1570298988,65,-15.89,-52.26,301.15,5.1
arman,4,RU,1570299033,79,59.7,150.17,263.4,2.94
saldanha,8,PT,1570299034,40,41.42,-6.55,294.3,4.08
yar-sale,100,RU,1570299034,97,66.83,70.83,274.2,6.51
luderitz,0,NA,1570299034,77,-26.65,15.16,289.15,8.2
snasa,2,NO,1570299034,60,64.25,12.38,271.7,0.46
tasiilaq,75,GL,1570299035,65,65.61,-37.64,280.15,10.8
atuona,4,PF,1570299035,70,-9.8,-139.03,300.0,8.23
cherskiy,100,RU,1570299035,94,68.75,161.3,266.8,5.78
marau,100,BR,1570299036,95,-28.45,-52.2,289.8,3.84
sal rei,40,CV,1570299036,62,16.18,-22.92,302.15,7.2
kruisfontein,0,ZA,1570299036,71,-34.0,24.73,290.7,1.18
stromness,40,CA,1570299036,50,42.87,-79.55,289.82,5.7
galle,73,GN,1570299036,91,10.08,-12.83,298.2,1.761
palaikastron,3,GR,1570299037,58,35.2,26.25,295.93,2.68
